representation,compartment,n_cells,n_samples,ari,nmi,nn_accuracy,silhouette
stack,all,2700,9,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.10947341471910477
stack,epithelial,375,9,-0.07746478873239436,0.26291520114154054,0.2222222222222222,0.04268486052751541
stack,immune,2138,9,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.0986444428563118
stack,stromal,78,9,0.017241379310344827,0.3207384307761227,0.3333333333333333,0.03513723239302635
stack,endothelial,109,8,-0.12,0.25179291364367734,0.0,-0.03024955652654171
pca,all,2700,9,0.06493506493506493,0.40490058363640974,0.0,0.05537186190485954
pca,epithelial,375,9,-0.1076923076923077,0.2192140336970249,0.2222222222222222,-0.01699838787317276
pca,immune,2138,9,-0.07746478873239436,0.26291520114154054,0.1111111111111111,0.02359149605035782
pca,stromal,78,9,-0.05194805194805195,0.24357114855224987,0.4444444444444444,0.007841278798878193
pca,endothelial,109,8,-0.12,0.25179291364367734,0.25,-0.007779199630022049
