sample_id,histology_type,radiological_type,gender,organism,cohort,compartment,epithelial_score,immune_score,stromal_score,endothelial_score
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.0,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.8013096100821336,0.0,0.5887362806745264,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.1125112691007604,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.5885590758964352,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.5301672609865935,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.2343704541828846,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.19755133381790885,1.7629575945042633,0.1222357357208355,0.1222357357208355
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.221661328977396,0.305820003206685,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,stromal,0.0,0.0,1.47050938375595,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6381777494386391,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,3.274822696107665,0.0,0.21548086319660348
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.3841918855799433,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,stromal,0.0,0.0,1.17483801542322,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.2294711509867873,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5903622377073747,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5444516386425666,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5392614347397133,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.0,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.0219737388713974,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.5547279457945145,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.2409833445988674,0.6470525685673095,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.4231643333822095,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.118516686015531,0.8242069429864334,0.2747356476621444,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.386649274562537,0.386649274562537,0.27504447100313323,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.0037531931193455,0.4383111657527173,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5302992230396558,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.8229525749108688,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,endothelial,0.38825097929931884,0.4317169238985558,0.12766804045669528,1.3212484056344767
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,2.581860418996116,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.790895711052444,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.19355793045097225,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,endothelial,0.28431615719266434,0.5633011153865499,0.0,1.7625757870514829
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,2.9730572552261108,0.07074931691900453,0.12290609621489475
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.06390144682262101,3.622902747391028,0.0,0.2362654218145818
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5775085803391374,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.963131577858796,0.8124433758810776,0.4306714905290665,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.33761917207729986,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.7269921696572207,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.7778844432577089,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.0,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.1272100877390108,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,endothelial,0.18992854801596015,0.0,0.0,1.614731986752913
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.7365397119648732,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.7033792853871577,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,2.653119611255103,0.4442083341315392,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.49173770221769253,0.0,0.0
