representation,compartment,n_cells,n_samples,ari,nmi,nn_accuracy,silhouette
stack,all,2700,9,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.04054605960845947
stack,epithelial,375,9,-0.16129032258064516,0.14378913248740022,0.2222222222222222,-0.020410068333148956
stack,immune,2138,9,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.058187179267406464
stack,stromal,78,9,0.07692307692307693,0.35631003654375043,0.3333333333333333,-0.046035025268793106
stack,endothelial,109,8,0.2,0.4925986063135096,0.375,-0.05295190587639809
pca,all,2700,9,-0.11764705882352941,0.2179136487255354,0.1111111111111111,0.006237609777599573
pca,epithelial,375,9,-0.21428571428571427,0.10769068931563396,0.2222222222222222,-0.08670452237129211
pca,immune,2138,9,-0.16129032258064516,0.14378913248740022,0.1111111111111111,-0.030870579183101654
pca,stromal,78,9,0.0,0.27762581114398704,0.2222222222222222,-0.0498221181333065
pca,endothelial,109,8,0.2,0.4925986063135096,0.125,-0.03836340829730034
